"ABDALA de MATARAZZO, Norma Amanda",OTROS,Santiago del Estero,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ACOSTA, Maria Julia",FPV,Catamarca,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,
"AGOSTO, Walter Alfredo",OTROS,Santa Fe,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,
"AGUAD, Oscar Raul",UCR,Cordoba,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,,2,2,2,0,0,0,0,0,0,0,2,0,0,0,1,2,2
"AGUILAR, Lino Walter",FPER,San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,2,0,0,1,1,2,2
"AGUIRRE de SORIA, Hilda Clelia",FPV,La Rioja,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,0,0,1,1,2,,,,,,,,,,,,,,
"ALBARRACIN, Jorge Luis",UCR,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"ALBRIEU, Oscar",FPV,Rio Negro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ALCUAZ, Horacio Alberto",OTROS,Buenos Aires,2,2,2,2,2,1,1,2,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,
"ALFARO, German Enrique",FPV,Tucuman,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
"ALFONSIN, Ricardo Luis",UCR,Buenos Aires,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ALIZEGUI, Antonio Anibal",FPV,Entre Rios,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
"ALONSO, Gumersindo Federico",OTROS,Cordoba,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,0,0,0,1,1,1,0,0,0,0,1,9,0,1,0,0,0,1,2,2
"ALONSO, Laura",PRO,Cdad. Aut. Bs. As.,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,1,2,2,2
"ALONSO, Maria Luz",FPV,La Pampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ALVAREZ, Elsa Maria",UCR,Santa Cruz,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"ALVAREZ, Jorge Mario",UCR,Santa Fe,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,0,0,9,0,0,0,0,0,0,0,0,1,2,0
"ALVAREZ, Juan Jose",OTROS,Buenos Aires,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
"ALVARO, Hector Jorge",OTROS,Mendoza,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,
"AMADEO, Eduardo Pablo",FPER,Buenos Aires,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,2,2
"ARAGON, Santiago",FPV,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARBO, Jose Ameghino",OTROS,Corrientes,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,
"ARENA, Celia Isabel",OTROS,Santa Fe,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
"ARETA, Maria Josefa",OTROS,Corrientes,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
"ARGUELLO, Octavio",FPV,Buenos Aires,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,9,0,0,1,1,1,,,,,,,,,,,,,,
"ARGUMEDO, Alcira Susana",OTROS,Cdad. Aut. Bs. As.,0,1,9,1,0,1,1,1,0,0,0,1,1,1,2,2,1,1,1,1,1,9,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,9,0,1,1,2,2
"ARREGUI, Andres",FPV,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ASEF, Daniel Edgardo",OTROS,Cordoba,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,,,,,,,,,,,,,,
"ASPIAZU, Lucio Bernardo",UCR,Corrientes,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"ASSEFF, Alberto",FPER,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"ATANASOF, Alfredo Nestor",FPER,Buenos Aires,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,1,1,1,0,2,2,2,2,1,2,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,2,2,1,2,2
